EndNodes_1,EndNodes_2,Weight
2,10,0.0139424642043213
3,8,0.050307372969539
3,15,0.79855591252313
4,3,0.0107325518769333
5,3,0.0137523055424185
5,8,0.063863511421232
6,5,0.0847168722269411
7,8,0.0354436982834661
7,12,0.0191371568129208
9,8,0.0197185697999286
10,5,0.56947407699768
11,5,0.00916799827152796
12,6,0.0192507694437522
12,7,0.0161747200399433
12,8,0.0111398523637547
13,3,0.524635061797286
13,5,0.0117602556055986
13,8,0.0377571646314894
13,15,0.0834724124653438
14,5,0.0118393816756698
14,13,0.0128927640622004
15,8,0.129728000120788
