EndNodes_1,EndNodes_2,Weight
1,8,0.026027283464065
2,5,0.100364376597015
3,12,0.0467838845209886
3,13,0.743697086890674
4,14,0.0309276361297294
5,4,0.497288615402698
5,14,0.103750733120226
6,15,0.0345830353808899
7,1,0.0261990667212481
7,8,0.0315028437421811
7,11,0.0976959547734349
8,1,0.0501434743786497
8,7,0.160861414402606
11,14,0.130815927095873
12,1,0.211229023354843
12,2,0.594903048238216
12,5,0.0793288343516622
12,13,0.0299054249618645
12,14,0.0474967625526632
13,4,0.0237860852876025
13,12,0.095281783265636
15,1,0.0805462446478274
