EndNodes_1,EndNodes_2,Weight
1,3,0.275291106054214
1,10,0.00884522625323477
1,11,0.0335354125811077
1,12,0.0133395362181824
3,12,0.00876774254952307
5,11,0.01346899079695
6,2,0.0273676153701692
6,12,0.0274268770570659
6,15,0.337415338404993
7,6,0.00823383577974566
7,8,0.0081965020632522
9,14,0.00647857610701796
10,2,0.0790413924704899
11,2,0.0138922913275796
11,10,0.00720597341997441
11,12,0.148890070749477
12,2,0.0763415100591247
13,4,0.00802246229473952
13,5,0.0255296221619387
13,6,0.0332642364633999
13,12,0.0391501668062917
14,8,0.00700508684669171
