EndNodes_1,EndNodes_2,Weight
1,5,0.0141048207824049
2,7,0.0597517950423917
3,8,0.233490012513964
4,2,0.0783321134065512
5,1,0.0250446936984806
5,6,0.0455437702382717
7,4,0.116089350905291
7,14,0.0366051711497444
8,4,0.016336640355119
8,13,0.12438727625949
8,14,0.212665649959846
9,3,0.0122951067827118
9,12,0.0836372919760621
10,5,0.0214736043677394
11,15,0.0300665820222983
13,4,0.639838046156219
13,5,0.0166731716480592
13,11,0.509502144732256
13,15,0.11547147137874
14,5,0.345946355469455
15,2,0.0137599914087936
15,12,0.0124532485357146
