EndNodes_1,EndNodes_2,Weight
1,5,0.14214160221509
1,8,0.115038671123635
1,9,0.00702493852007661
1,11,0.00980049252811387
3,15,0.00881575137027272
4,8,0.0103626508527135
4,9,0.0113136958456476
5,8,0.07392758556365
6,2,0.23152494925877
6,13,0.00818607215198918
7,4,0.747382248377159
7,8,0.00919753601739462
8,5,0.0879631459918194
8,10,0.00842151305375234
8,14,0.00719563574554246
11,7,0.00692343156667666
11,9,0.00840716634997969
11,14,0.00937791195362224
12,3,0.0274153576375388
13,6,0.00739622651153329
14,10,0.0320733777491611
15,7,0.02287968551699
