EndNodes_1,EndNodes_2,Weight
1,3,0.00910762321130117
1,10,0.0120572174193184
2,11,0.0148466003288713
3,4,1.46660894652793
3,6,0.0451961550345385
3,7,0.416598837403089
4,6,0.392596658373231
4,7,0.0211411629584656
7,6,0.0227720223615147
7,9,0.0387421766438644
8,2,0.206505795622837
8,11,0.111684673500477
10,3,0.0113344363270639
10,12,0.00999974240143726
11,2,0.00877258137443794
12,14,0.190764617460349
12,15,0.739651126454085
13,7,0.0371932725889823
14,3,0.260900995348541
14,4,0.121844274428383
14,6,0.0677867925715349
15,14,0.0242907433361606
