EndNodes_1,EndNodes_2,Weight
1,4,0.0447867993535812
2,5,0.0252354026005822
2,9,0.0200207753872243
3,9,0.0121253700835754
3,14,0.0422647894721471
4,3,0.145613180988859
4,7,0.337490649344363
5,14,0.0143372130570837
6,3,0.0484683943359391
6,4,0.281814577913708
6,7,0.0185915595102898
7,3,0.0297252183081767
7,9,0.0122302018549176
7,12,0.0920826300018209
8,12,0.122097921105136
11,8,0.0117716298304415
12,2,0.348655481582015
12,3,0.138328311212743
12,5,0.209829478987706
14,9,0.142760975979163
15,4,0.614381290769496
15,12,0.0156177196629399
