EndNodes_1,EndNodes_2,Weight
2,1,0.00892857271167293
2,6,0.00977512353717757
2,9,0.0220167801852565
2,10,0.0154872840918937
3,15,0.155828148435599
5,3,0.0159194298694695
5,7,0.406687318424252
5,9,0.0294242432757411
5,13,0.00866738832560835
6,3,0.044808106886976
6,5,0.00882259164701804
7,3,0.00791961481837885
7,8,0.0205283214121127
7,9,0.0298387332223224
8,4,0.00922668790015479
8,7,0.007510124895476
12,5,0.009751575361661
12,14,0.00717853851722568
13,6,0.0593639817008025
14,8,0.00827122645074956
14,10,0.0441341791493318
15,9,0.100789794641674
