EndNodes_1,EndNodes_2,Weight
1,5,0.727339543304007
3,5,0.15986138672116
3,7,0.00739984418479953
3,11,0.0379478325353918
4,15,0.0565391707832638
5,6,0.00858395519032559
5,8,0.00900267892012478
5,9,0.302449316544663
6,13,0.0798672321841506
7,8,0.215506034371017
9,8,0.59104889420936
11,7,0.0210955414474127
12,6,0.00833318668728174
12,7,0.103488417753141
12,8,0.0409166208071542
13,4,0.0589549955172082
13,7,0.00779545210207989
13,11,0.00688087253678523
13,15,0.827312425662177
14,2,0.0101343188061868
14,10,0.0247951112726959
15,6,0.0363379123194552
