EndNodes_1,EndNodes_2,Weight
1,3,0.013778991393221
1,9,0.182240928329579
1,16,0.0308177224758711
1,24,0.0559945346998549
3,1,0.0412888197434653
3,8,0.0277712941483538
3,24,0.219654159896914
4,5,0.106111768566936
4,9,0.286680792522933
4,30,0.0150912555740901
5,2,0.0225590398363286
5,9,0.0161733528546728
5,12,0.0212835101466703
5,19,0.0535615926232929
5,21,0.149078620783878
5,27,0.121707041340754
5,30,0.0112222396082399
6,12,0.204152909313108
6,20,0.470306010847918
7,2,0.202926009641753
7,9,0.0406612808831692
7,10,0.0885696943176255
7,14,0.0263938514389429
8,5,0.0287523082611936
8,14,0.0474388311151053
8,17,0.761158945516155
8,29,0.179889976412572
9,5,0.246451114754055
10,29,0.140790022337613
11,4,0.0150180831279842
11,22,0.0983889792355909
11,28,0.0291646590499339
12,7,0.0718443112724007
12,15,0.129709840413764
13,1,0.0310073037714206
13,3,0.18374104165046
13,28,0.0240836867818185
14,17,0.0139837242404356
14,23,0.594839231470494
14,29,0.0317257435889645
15,7,0.0198390177164217
16,17,0.0208195193978679
16,19,0.18083245264891
16,24,0.031726703643165
16,26,0.0972308585970083
17,29,0.246021138136429
18,4,0.0534633935157536
18,29,0.666435400181078
18,30,0.0134861533098271
19,4,0.0112280894147584
19,13,0.357088893015315
19,26,0.0192646270954649
19,27,0.0164143920092776
20,4,0.0948629430952224
20,12,0.0471401494999344
20,15,0.0636281875856366
20,18,0.0774755354568818
21,12,0.0218982681268485
21,13,0.0118447759198899
21,19,0.065355178898269
21,25,0.0400984912439171
21,27,0.155798450187671
21,28,0.509265560397037
22,18,0.0134050570247493
23,13,0.123068262761094
23,28,0.0483593593387423
24,4,0.0324991310926653
24,28,0.0248174960783703
25,1,0.0180619546925267
25,3,0.0126451743504193
25,5,0.0123288503303117
25,8,0.0238443603163632
25,11,0.0450789015663999
25,28,0.0147513655522364
25,30,0.0119291912560987
26,3,0.0194508662870484
26,24,0.0187385962570908
26,30,0.0248576136785753
27,2,0.015267978807548
27,13,0.131263177658547
27,21,0.014791743371312
27,25,0.0363930926506078
27,28,0.0132927619660881
28,11,0.124335246652189
28,13,0.013710780276885
29,4,0.103552723631068
30,10,0.0117233248302278
30,16,0.466771417646506
30,17,0.384841353408821
30,26,0.0236035474453743
