Done Arranging Data, Took 0.103 seconds

Done with node:1, Took 45.833 seconds
Done with node:2, Took 59.476 seconds
Done with node:3, Took 43.666 seconds
Done with node:4, Took 56.337 seconds
Done with node:5, Took 54.106 seconds
Done with node:6, Took 52.231 seconds
Done with node:7, Took 30.782 seconds
Done with node:8, Took 44.020 seconds
Done with node:9, Took 45.451 seconds
Done with node:10, Took 36.885 seconds
Done with node:11, Took 49.768 seconds
Done with node:12, Took 23.159 seconds
Done with node:13, Took 58.127 seconds
Done with node:14, Took 46.348 seconds
Done with node:15, Took 62.168 seconds
Done with node:16, Took 17.317 seconds
Done with node:17, Took 67.311 seconds
Done with node:18, Took 48.323 seconds
Done with node:19, Took 52.357 seconds
Done with node:20, Took 47.499 seconds
Done with node:21, Took 44.683 seconds
Done with node:22, Took 52.353 seconds
Done with node:23, Took 7.727 seconds
Done with node:24, Took 44.738 seconds
Done with node:25, Took 65.086 seconds
Done with node:26, Took 52.184 seconds
Done with node:27, Took 62.702 seconds
Done with node:28, Took 46.917 seconds
Done with node:29, Took 50.987 seconds
Done with node:30, Took 36.048 seconds
