EndNodes_1,EndNodes_2,Weight
1,11,0.0809157365015889
1,14,0.027352860319135
1,28,0.0730978826735136
2,10,0.0736808109198681
3,7,0.0627237842210093
3,8,0.111565549228138
3,17,0.0421916001394221
3,19,0.0644583982198348
3,24,0.0527204468478493
4,2,0.0619138071600301
4,3,0.0358364954705535
4,10,0.19232710967927
4,12,0.0809321352671473
4,15,1.15776887910778
4,17,0.0441412594702322
4,29,0.101368188373589
5,7,0.0520833605616364
5,9,0.116762408852041
5,15,0.169657817475403
5,22,0.315005770895282
6,3,0.0638569429396348
6,21,0.327399842634277
7,3,0.111795513766988
7,8,0.0589512074792484
7,19,0.260269059422991
7,23,0.0361130732517421
8,17,0.0527676338443146
9,18,0.0702364103868593
10,7,0.195471593872917
12,2,0.0347719268439701
12,3,0.0397900318782452
12,4,0.0329677030163899
14,9,0.0366814553525307
14,27,0.208967512140774
15,3,0.060104630625739
15,7,0.0414946421883757
15,10,0.193520425771801
15,17,0.0290170817257104
15,19,0.119393459818863
17,2,0.242975518207847
17,19,0.0359898680958597
18,3,0.0530438300058197
18,7,0.0862702742907984
18,8,0.307296915506688
18,27,0.266011827846945
19,3,0.412054472565013
19,7,0.179049394747123
19,8,0.0327347095640686
19,23,0.0782442823573535
20,16,0.37841053949833
20,26,0.0423952254140162
22,7,0.0376134235881136
22,15,0.0500772683495867
23,3,0.152609719502005
23,7,0.131082027843548
23,19,0.307681157064166
23,21,0.0899060592441532
23,24,0.0733402921564014
23,25,0.153358660289008
24,2,0.0435386704874858
24,3,0.0610335615346661
24,4,0.0787841730000148
24,8,0.0738351210112337
24,12,0.128963863944224
24,15,0.155994467520108
24,17,0.325466587347852
25,3,0.0442289785116205
25,7,0.026751095745645
25,18,0.0599554208893938
25,19,0.046891364921973
25,21,0.058031876588126
25,24,0.0289063337687005
25,26,0.0591472709158973
25,29,0.0292868261986169
26,6,0.376498360138155
27,8,0.054666214382732
27,9,0.0969213505513048
27,14,0.0730045725769526
27,18,0.173524103500844
28,18,0.0681757396938756
28,20,0.0424054114577258
29,5,0.287612707098956
29,7,0.0295925814267853
29,17,0.0292125495130999
29,19,0.0624931892062931
29,26,0.0319399009283236
30,19,0.0491244780005573
30,20,0.311139288994078
30,26,0.0386679203579198
30,28,0.0950040632238076
