Done Arranging Data, Took 0.122 seconds

Done with node:1, Took 54.054 seconds
Done with node:2, Took 46.710 seconds
Done with node:3, Took 53.277 seconds
Done with node:4, Took 8.837 seconds
Done with node:5, Took 22.901 seconds
Done with node:6, Took 46.166 seconds
Done with node:7, Took 47.658 seconds
Done with node:8, Took 7.273 seconds
Done with node:9, Took 36.347 seconds
Done with node:10, Took 15.482 seconds
Done with node:11, Took 30.075 seconds
Done with node:12, Took 36.044 seconds
Done with node:13, Took 35.429 seconds
Done with node:14, Took 40.093 seconds
Done with node:15, Took 15.546 seconds
Done with node:16, Took 50.131 seconds
Done with node:17, Took 47.131 seconds
Done with node:18, Took 27.164 seconds
Done with node:19, Took 33.561 seconds
Done with node:20, Took 29.100 seconds
Done with node:21, Took 43.532 seconds
Done with node:22, Took 20.908 seconds
Done with node:23, Took 22.244 seconds
Done with node:24, Took 48.333 seconds
Done with node:25, Took 26.323 seconds
Done with node:26, Took 12.119 seconds
Done with node:27, Took 45.424 seconds
Done with node:28, Took 32.381 seconds
Done with node:29, Took 7.524 seconds
Done with node:30, Took 24.723 seconds
