Done Arranging Data, Took 0.115 seconds

Done with node:1, Took 86.012 seconds
Done with node:2, Took 75.235 seconds
Done with node:3, Took 81.741 seconds
Done with node:4, Took 80.442 seconds
Done with node:5, Took 62.414 seconds
Done with node:6, Took 80.547 seconds
Done with node:7, Took 63.550 seconds
Done with node:8, Took 65.176 seconds
Done with node:9, Took 79.452 seconds
Done with node:10, Took 79.940 seconds
Done with node:11, Took 61.454 seconds
Done with node:12, Took 10.165 seconds
Done with node:13, Took 29.257 seconds
Done with node:14, Took 80.321 seconds
Done with node:15, Took 74.063 seconds
Done with node:16, Took 68.265 seconds
Done with node:17, Took 78.093 seconds
Done with node:18, Took 6.540 seconds
Done with node:19, Took 52.774 seconds
Done with node:20, Took 65.604 seconds
Done with node:21, Took 58.358 seconds
Done with node:22, Took 61.447 seconds
Done with node:23, Took 54.697 seconds
Done with node:24, Took 55.816 seconds
Done with node:25, Took 55.079 seconds
Done with node:26, Took 82.317 seconds
Done with node:27, Took 84.977 seconds
Done with node:28, Took 65.345 seconds
Done with node:29, Took 48.787 seconds
Done with node:30, Took 3.152 seconds
