Done Arranging Data, Took 0.093 seconds

Done with node:1, Took 52.502 seconds
Done with node:2, Took 9.920 seconds
Done with node:3, Took 50.244 seconds
Done with node:4, Took 17.130 seconds
Done with node:5, Took 43.388 seconds
Done with node:6, Took 42.315 seconds
Done with node:7, Took 31.906 seconds
Done with node:8, Took 52.853 seconds
Done with node:9, Took 43.153 seconds
Done with node:10, Took 46.645 seconds
Done with node:11, Took 51.502 seconds
Done with node:12, Took 19.372 seconds
Done with node:13, Took 36.033 seconds
Done with node:14, Took 25.831 seconds
Done with node:15, Took 41.050 seconds
Done with node:16, Took 38.775 seconds
Done with node:17, Took 23.804 seconds
Done with node:18, Took 20.196 seconds
Done with node:19, Took 5.650 seconds
Done with node:20, Took 58.199 seconds
Done with node:21, Took 47.596 seconds
Done with node:22, Took 34.078 seconds
Done with node:23, Took 7.489 seconds
Done with node:24, Took 34.032 seconds
Done with node:25, Took 50.235 seconds
Done with node:26, Took 45.910 seconds
Done with node:27, Took 43.075 seconds
Done with node:28, Took 43.383 seconds
Done with node:29, Took 56.613 seconds
Done with node:30, Took 32.736 seconds
