Done Arranging Data, Took 0.060 seconds

Done with node:1, Took 29.579 seconds
Done with node:2, Took 28.834 seconds
Done with node:3, Took 34.446 seconds
Done with node:4, Took 37.748 seconds
Done with node:5, Took 36.836 seconds
Done with node:6, Took 11.726 seconds
Done with node:7, Took 19.912 seconds
Done with node:8, Took 23.796 seconds
Done with node:9, Took 37.223 seconds
Done with node:10, Took 18.653 seconds
Done with node:11, Took 33.567 seconds
Done with node:12, Took 25.758 seconds
Done with node:13, Took 37.504 seconds
Done with node:14, Took 20.546 seconds
Done with node:15, Took 23.698 seconds
Done with node:16, Took 29.232 seconds
Done with node:17, Took 34.476 seconds
Done with node:18, Took 19.703 seconds
Done with node:19, Took 32.645 seconds
Done with node:20, Took 13.249 seconds
Done with node:21, Took 30.996 seconds
Done with node:22, Took 27.487 seconds
Done with node:23, Took 23.788 seconds
Done with node:24, Took 33.420 seconds
Done with node:25, Took 26.191 seconds
Done with node:26, Took 27.005 seconds
Done with node:27, Took 36.575 seconds
Done with node:28, Took 36.667 seconds
Done with node:29, Took 38.571 seconds
Done with node:30, Took 23.836 seconds
