Done Arranging Data, Took 0.066 seconds

Done with node:1, Took 6.710 seconds
Done with node:2, Took 62.988 seconds
Done with node:3, Took 60.323 seconds
Done with node:4, Took 43.509 seconds
Done with node:5, Took 45.138 seconds
Done with node:6, Took 53.928 seconds
Done with node:7, Took 56.781 seconds
Done with node:8, Took 62.146 seconds
Done with node:9, Took 53.552 seconds
Done with node:10, Took 60.841 seconds
Done with node:11, Took 63.873 seconds
Done with node:12, Took 138.037 seconds
Done with node:13, Took 63.164 seconds
Done with node:14, Took 116.772 seconds
Done with node:15, Took 156.366 seconds
Done with node:16, Took 58.449 seconds
Done with node:17, Took 166.122 seconds
Done with node:18, Took 134.752 seconds
Done with node:19, Took 47.700 seconds
Done with node:20, Took 20.641 seconds
Done with node:21, Took 69.494 seconds
Done with node:22, Took 42.920 seconds
Done with node:23, Took 40.896 seconds
Done with node:24, Took 47.693 seconds
Done with node:25, Took 43.613 seconds
Done with node:26, Took 49.169 seconds
Done with node:27, Took 44.325 seconds
Done with node:28, Took 18.227 seconds
Done with node:29, Took 34.710 seconds
Done with node:30, Took 3.598 seconds
