Done Arranging Data, Took 0.051 seconds

Done with node:1, Took 13.508 seconds
Done with node:2, Took 20.393 seconds
Done with node:3, Took 28.798 seconds
Done with node:4, Took 9.947 seconds
Done with node:5, Took 25.592 seconds
Done with node:6, Took 26.013 seconds
Done with node:7, Took 26.973 seconds
Done with node:8, Took 22.973 seconds
Done with node:9, Took 22.006 seconds
Done with node:10, Took 28.282 seconds
Done with node:11, Took 3.059 seconds
Done with node:12, Took 6.637 seconds
Done with node:13, Took 7.788 seconds
Done with node:14, Took 24.575 seconds
Done with node:15, Took 25.631 seconds
Done with node:16, Took 22.347 seconds
Done with node:17, Took 22.582 seconds
Done with node:18, Took 6.791 seconds
Done with node:19, Took 24.594 seconds
Done with node:20, Took 28.674 seconds
Done with node:21, Took 8.727 seconds
Done with node:22, Took 28.848 seconds
Done with node:23, Took 17.971 seconds
Done with node:24, Took 21.001 seconds
Done with node:25, Took 28.416 seconds
Done with node:26, Took 24.538 seconds
Done with node:27, Took 12.810 seconds
Done with node:28, Took 19.142 seconds
Done with node:29, Took 21.920 seconds
Done with node:30, Took 25.978 seconds
