Done Arranging Data, Took 0.068 seconds

Done with node:1, Took 37.353 seconds
Done with node:2, Took 45.107 seconds
Done with node:3, Took 25.352 seconds
Done with node:4, Took 33.979 seconds
Done with node:5, Took 36.663 seconds
Done with node:6, Took 35.876 seconds
Done with node:7, Took 31.141 seconds
Done with node:8, Took 37.235 seconds
Done with node:9, Took 39.994 seconds
Done with node:10, Took 39.840 seconds
Done with node:11, Took 35.706 seconds
Done with node:12, Took 41.286 seconds
Done with node:13, Took 40.714 seconds
Done with node:14, Took 88.273 seconds
Done with node:15, Took 75.500 seconds
Done with node:16, Took 83.283 seconds
Done with node:17, Took 88.132 seconds
Done with node:18, Took 66.521 seconds
Done with node:19, Took 95.991 seconds
Done with node:20, Took 82.247 seconds
Done with node:21, Took 67.288 seconds
Done with node:22, Took 29.836 seconds
Done with node:23, Took 101.592 seconds
Done with node:24, Took 94.613 seconds
Done with node:25, Took 80.983 seconds
Done with node:26, Took 82.903 seconds
Done with node:27, Took 86.459 seconds
Done with node:28, Took 90.042 seconds
Done with node:29, Took 10.716 seconds
Done with node:30, Took 92.251 seconds
