Done Arranging Data, Took 0.110 seconds

Done with node:1, Took 15.588 seconds
Done with node:2, Took 55.603 seconds
Done with node:3, Took 44.720 seconds
Done with node:4, Took 49.289 seconds
Done with node:5, Took 41.625 seconds
Done with node:6, Took 53.015 seconds
Done with node:7, Took 29.321 seconds
Done with node:8, Took 7.420 seconds
Done with node:9, Took 33.650 seconds
Done with node:10, Took 19.533 seconds
Done with node:11, Took 26.686 seconds
Done with node:12, Took 19.967 seconds
Done with node:13, Took 19.486 seconds
Done with node:14, Took 16.131 seconds
Done with node:15, Took 5.436 seconds
Done with node:16, Took 2.903 seconds
Done with node:17, Took 17.352 seconds
Done with node:18, Took 19.288 seconds
Done with node:19, Took 18.280 seconds
Done with node:20, Took 16.273 seconds
Done with node:21, Took 14.764 seconds
Done with node:22, Took 2.944 seconds
Done with node:23, Took 25.448 seconds
Done with node:24, Took 2.915 seconds
Done with node:25, Took 2.078 seconds
Done with node:26, Took 16.748 seconds
Done with node:27, Took 8.669 seconds
Done with node:28, Took 3.091 seconds
Done with node:29, Took 3.092 seconds
Done with node:30, Took 21.093 seconds
