Done Arranging Data, Took 0.048 seconds

Done with node:1, Took 33.994 seconds
Done with node:2, Took 29.632 seconds
Done with node:3, Took 12.539 seconds
Done with node:4, Took 12.397 seconds
Done with node:5, Took 30.467 seconds
Done with node:6, Took 29.087 seconds
Done with node:7, Took 27.089 seconds
Done with node:8, Took 25.984 seconds
Done with node:9, Took 6.357 seconds
Done with node:10, Took 29.876 seconds
Done with node:11, Took 27.560 seconds
Done with node:12, Took 27.209 seconds
Done with node:13, Took 28.392 seconds
Done with node:14, Took 11.934 seconds
Done with node:15, Took 27.648 seconds
Done with node:16, Took 38.267 seconds
Done with node:17, Took 10.942 seconds
Done with node:18, Took 17.200 seconds
Done with node:19, Took 33.994 seconds
Done with node:20, Took 30.442 seconds
Done with node:21, Took 12.243 seconds
Done with node:22, Took 19.036 seconds
Done with node:23, Took 6.028 seconds
Done with node:24, Took 12.625 seconds
Done with node:25, Took 22.499 seconds
Done with node:26, Took 31.392 seconds
Done with node:27, Took 15.103 seconds
Done with node:28, Took 29.707 seconds
Done with node:29, Took 20.060 seconds
Done with node:30, Took 22.764 seconds
