0.56,0.462,0.6,0.667,0.545,0.636,0.636,0.222,0.4,0.471
0.467,0.5,0.6,0.75,0.6,0.583,0.583,0.25,0.333,0.5
0.7,0.429,0.6,0.6,0.5,0.7,0.7,0.2,0.5,0.444
0.64,0.5,0.7,0.778,0.533,0.727,0.818,0.429,0.56,0.444
0.533,0.667,0.7,0.875,0.8,0.667,0.75,0.75,0.467,0.5
0.8,0.4,0.7,0.7,0.4,0.8,0.9,0.3,0.7,0.4
0.64,0.375,0.6,0.667,0.4,0.545,0.636,0.429,0.64,0.333
0.533,0.5,0.6,0.75,0.6,0.5,0.583,0.75,0.533,0.375
0.8,0.3,0.6,0.6,0.3,0.6,0.7,0.3,0.8,0.3
0.56,0.25,0.7,0.667,0.4,0.636,0.818,0.429,0.64,0.444
0.467,0.333,0.7,0.75,0.6,0.583,0.75,0.75,0.533,0.5
0.7,0.2,0.7,0.6,0.3,0.7,0.9,0.3,0.8,0.4
0.8,0.375,0.8,0.778,0.533,0.909,0.909,0.429,0.56,0.667
0.667,0.5,0.8,0.875,0.8,0.833,0.833,0.75,0.467,0.75
1.0,0.3,0.8,0.7,0.4,1.0,1.0,0.3,0.7,0.6
0.72,0.375,0.6,0.667,0.4,0.636,0.818,0.286,0.72,0.444
0.6,0.5,0.6,0.75,0.6,0.583,0.75,0.5,0.6,0.5
0.9,0.3,0.6,0.6,0.3,0.7,0.9,0.2,0.9,0.4
0.72,0.25,0.7,0.778,0.533,0.727,0.818,0.286,0.64,0.333
0.6,0.333,0.7,0.875,0.8,0.667,0.75,0.5,0.533,0.375
0.9,0.2,0.7,0.7,0.4,0.8,0.9,0.2,0.8,0.3
0.8,0.375,0.6,0.778,0.667,0.909,0.818,0.429,0.56,0.667
0.667,0.5,0.6,0.875,1.0,0.833,0.75,0.75,0.467,0.75
1.0,0.3,0.6,0.7,0.5,1.0,0.9,0.3,0.7,0.6
0.64,0.25,0.8,0.667,0.667,0.636,0.727,0.429,0.56,0.556
0.533,0.333,0.8,0.75,1.0,0.583,0.667,0.75,0.467,0.625
0.8,0.2,0.8,0.6,0.5,0.7,0.8,0.3,0.7,0.5
0.64,0.25,0.7,0.778,0.533,0.727,0.818,0.429,0.48,0.444
0.533,0.333,0.7,0.875,0.8,0.667,0.75,0.75,0.4,0.5
0.8,0.2,0.7,0.7,0.4,0.8,0.9,0.3,0.6,0.4
0.8,0.5,0.7,0.778,0.667,0.818,0.818,0.571,0.64,0.778
0.667,0.667,0.7,0.875,1.0,0.75,0.75,1.0,0.533,0.875
1.0,0.4,0.7,0.7,0.5,0.9,0.9,0.4,0.8,0.7
0.64,0.375,0.6,0.778,0.533,0.727,0.727,0.429,0.56,0.444
0.533,0.5,0.6,0.875,0.8,0.667,0.667,0.75,0.467,0.5
0.8,0.3,0.6,0.7,0.4,0.8,0.8,0.3,0.7,0.4
0.48,0.154,0.5,0.556,0.545,0.421,0.727,0.4
0.4,0.167,0.5,0.625,0.6,0.333,0.667,0.25
0.6,0.143,0.5,0.5,0.5,0.571,0.8,1.0
0.72,0.375,0.6,0.778,0.533,0.727,0.909,0.429,0.64,0.444
0.6,0.5,0.6,0.875,0.8,0.667,0.833,0.75,0.533,0.5
0.9,0.3,0.6,0.7,0.4,0.8,1.0,0.3,0.8,0.4
0.72,0.625,0.6,0.778,0.667,0.818,0.818,0.571,0.56,0.778
0.6,0.833,0.6,0.875,1.0,0.75,0.75,1.0,0.467,0.875
0.9,0.5,0.6,0.7,0.5,0.9,0.9,0.4,0.7,0.7
