EndNodes_1,EndNodes_2,Weight
1,4,0.014857
1,6,0.00071603
1,20,0.00081921
3,8,0.0010756
3,9,0.0032757
6,4,0.0033122
6,19,0.0086682
9,4,0.0018882
9,6,0.039191
9,13,0.00072506
9,19,0.0019922
10,4,0.00073918
10,6,0.0033619
10,9,0.096783
10,13,0.058171
10,19,0.0023547
10,20,0.0012631
12,10,0.0079555
12,17,0.00068863
13,1,0.0030395
13,6,0.00090435
13,9,0.00090168
13,20,0.0031385
14,12,0.00068508
14,19,0.043006
15,12,0.00091698
16,12,0.0028829
16,15,0.0041881
17,5,0.002114
17,8,0.0020982
17,11,0.005382
17,12,0.0049008
17,18,0.051781
18,2,0.00072177
18,11,0.0086641
18,12,0.017385
18,16,0.00069305
20,1,0.013208
20,4,0.0017957
20,9,0.0069496
