EndNodes_1,EndNodes_2,Weight
3,6,0.0014537
3,17,0.001408
3,18,0.001384
3,24,0.0078895
4,6,0.0022231
4,9,0.0027472
4,19,0.026116
4,20,0.0015138
4,22,0.022286
4,24,0.0037912
4,28,0.0062782
5,19,0.0025083
5,30,0.040043
6,1,0.0014993
6,2,0.0012165
6,7,0.0028459
6,9,0.0069495
6,14,0.0094536
6,16,0.0038826
6,17,0.030078
6,24,0.0013753
6,27,0.03711
7,1,0.0015571
7,2,0.015882
7,3,0.0016365
7,6,0.0025509
7,11,0.0032831
7,12,0.0066298
7,14,0.0013207
7,16,0.030751
7,21,0.0076198
8,1,0.018529
8,9,0.0016098
8,15,0.019823
9,1,0.0064988
9,2,0.0050047
9,6,0.0017872
9,7,0.035706
9,14,0.0012246
9,16,0.0092366
9,21,0.0037031
9,27,0.0017232
10,5,0.013956
10,16,0.0012614
10,23,0.20398
10,25,0.002221
11,6,0.0056404
12,1,0.001457
12,6,0.015077
13,1,0.02394
13,5,0.0015013
14,3,0.040559
14,6,0.0030141
14,7,0.0064255
14,16,0.0013166
14,17,0.0048212
14,24,0.0033714
14,27,0.002474
16,2,0.0019728
16,12,0.0013474
16,21,0.0021538
18,22,0.0017522
18,28,0.010659
19,20,0.0067864
20,1,0.0041805
20,6,0.0072696
20,13,0.040208
22,3,0.47435
22,9,0.0028021
22,19,0.0015872
22,20,0.0019173
22,24,0.0047289
22,25,0.0021375
22,28,0.041228
25,10,0.0015777
26,25,0.0050986
27,16,0.0099122
27,17,0.0017795
28,3,0.0038384
28,19,0.046584
28,20,0.0015406
28,24,0.0012351
29,1,0.0014438
29,6,0.0094838
29,7,0.010451
29,9,0.0027775
29,11,0.0016348
29,12,0.03465
29,14,0.022464
29,24,0.0020936
