0,21,8.186934501917104
1,3,3.9208283146367418
1,12,13.388534472276172
2,5,13.860102785253021
2,9,3.9842647872213033
2,16,10.416967425702879
2,17,12.731340757010006
2,23,24.727419676671268
2,24,7.240882896293264
3,18,20.030557702021646
3,21,21.550807584950434
4,17,8.251684937928461
4,18,15.656129256611026
4,29,21.416302746163623
5,2,0.557683876661289
5,6,9.930503854728546
5,8,21.523845760907783
5,13,18.4463422233683
5,16,19.227164232074163
5,26,27.150214630971742
6,1,21.02910670631757
6,10,12.345624214273913
6,11,18.203326744408763
6,15,25.572862755285158
6,20,19.718388361541745
7,0,27.290432251166987
7,8,17.028062058207247
7,14,20.380878503721068
7,23,5.037745541891447
8,0,16.74776306936328
8,6,20.49261123934781
9,4,18.15617722575294
9,15,16.405438928253627
9,22,28.289313814431836
9,24,13.745427871918578
10,0,2.0697878583604936
10,5,22.53065280379152
11,0,12.66771207494006
11,4,4.599244239092534
11,5,25.379606358215796
11,22,8.361835598986856
12,0,27.055513793132896
12,4,11.319994703743845
13,2,23.187124538044433
13,5,15.820200346765551
13,6,16.3426174165696
13,10,3.9778771998743534
17,13,9.325349483997993
17,15,4.393711718061555
17,21,9.823734001598076
17,27,19.002951596012878
17,29,2.791149283940798
18,19,17.85962397787792
19,5,20.044854880545145
19,6,2.458318916184843
19,12,22.774414147551383
20,2,10.863579811419742
20,16,1.6582442016320031
20,19,2.625614129918307
20,28,2.871643118556666
21,2,28.479534528056053
21,8,17.402714571668355
21,27,29.42356478786809
22,20,9.120097222246441
23,21,1.2699266310915214
24,3,1.481608734153308
24,9,7.220514869845412
25,24,16.15422547764925
26,15,22.327746814128332
26,29,6.012051361464575
27,2,12.785544448331137
27,18,26.78169387794262
27,24,4.8079706143105145
27,25,8.454196124744247
28,6,15.744724067980991
28,11,23.2935735649684
28,13,24.10676224198339
