EndNodes_1,EndNodes_2,Weight
1,8,0.115734557532132
1,14,0.0124874694210846
1,18,0.0127994255081885
2,6,0.0192787835208586
2,10,0.0516565747969538
3,10,0.247395067483281
3,17,0.0188603686998818
4,3,0.436613354121375
4,12,0.0802842089609852
4,15,0.0205646118119547
4,16,0.0355017673836152
4,20,0.0170317748965889
5,12,0.0482276413031945
6,2,0.042488817501417
8,4,0.29946357895711
8,11,0.0162216451552531
8,15,0.0177390498727578
8,16,0.272577371448787
8,20,0.0851973826844627
10,17,0.198466091416077
11,1,0.115898498884168
11,12,0.674594834204016
11,14,0.454172989081046
14,1,0.0130782107357088
15,12,0.559941207437267
16,3,0.0226175785778645
16,9,0.0712051949845478
16,17,0.0437130842698395
16,20,0.100368573820949
17,18,0.040000774045123
18,2,0.288335029524173
18,6,0.411575846284574
18,10,0.119401194848971
19,12,0.0192557465595999
19,15,0.152041796646973
20,3,0.131630260594187
20,9,0.0392425695659686
20,10,0.0159151441390437
20,16,0.0123694829361951
20,17,0.0410275676382222
