Done Arranging Data, Took 0.060 seconds

Done with node:1, Took 23.275 seconds
Done with node:2, Took 10.335 seconds
Done with node:3, Took 13.862 seconds
Done with node:4, Took 18.413 seconds
Done with node:5, Took 13.317 seconds
Done with node:6, Took 9.702 seconds
Done with node:7, Took 6.720 seconds
Done with node:8, Took 5.147 seconds
Done with node:9, Took 12.981 seconds
Done with node:10, Took 5.050 seconds
Done with node:11, Took 23.329 seconds
Done with node:12, Took 9.736 seconds
Done with node:13, Took 14.354 seconds
Done with node:14, Took 18.053 seconds
Done with node:15, Took 25.099 seconds
Done with node:16, Took 19.935 seconds
Done with node:17, Took 21.483 seconds
Done with node:18, Took 6.026 seconds
Done with node:19, Took 18.286 seconds
Done with node:20, Took 7.591 seconds
