EndNodes_1,EndNodes_2,Weight
1,9,0.33457146448484
1,14,0.121645053888206
1,19,0.0124954036775014
2,10,0.0672155481782743
2,14,0.00779614046353029
3,13,0.0121902128155223
3,14,0.0325085580496158
3,20,0.180574770186879
4,17,0.165686766258663
6,17,0.0117709228258094
6,18,0.103814129405246
7,2,0.338016986820685
7,10,0.00750448302103423
7,11,0.116120547540255
8,19,0.27714994755241
9,5,0.0378162969305351
9,14,0.0157194725088322
10,12,0.00806822854327802
10,19,0.00877060319476836
11,2,0.302044132454658
11,9,0.482556149208371
11,14,0.0077027699275402
11,17,0.0140378670506229
13,5,0.167688562181991
13,18,0.136130597425621
15,5,0.0271196444834295
15,11,0.394000885701743
15,14,0.147569163437861
15,17,0.246700898102344
15,19,0.282551386122298
16,2,0.0799222422445218
16,10,0.085239502522852
16,14,0.058297798075303
16,17,0.0129846901873356
17,10,0.106876993446375
17,12,0.0128167332704453
19,9,0.421081499718063
19,14,0.0128401544520293
20,5,0.0135438158798324
20,13,0.613124904521102
