Done Arranging Data, Took 0.100 seconds

Done with node:1, Took 18.667 seconds
Done with node:2, Took 7.634 seconds
Done with node:3, Took 5.757 seconds
Done with node:4, Took 16.849 seconds
Done with node:5, Took 7.469 seconds
Done with node:6, Took 20.604 seconds
Done with node:7, Took 3.923 seconds
Done with node:8, Took 8.779 seconds
Done with node:9, Took 15.650 seconds
Done with node:10, Took 9.967 seconds
Done with node:11, Took 10.279 seconds
Done with node:12, Took 11.200 seconds
Done with node:13, Took 15.300 seconds
Done with node:14, Took 5.591 seconds
Done with node:15, Took 5.548 seconds
Done with node:16, Took 5.217 seconds
Done with node:17, Took 5.311 seconds
Done with node:18, Took 7.789 seconds
Done with node:19, Took 17.457 seconds
Done with node:20, Took 11.575 seconds
