1,4,12.1052474559
1,7,14.6203567996
2,7,25.0373114086
2,10,14.5986319994
2,11,24.0606235366
2,17,6.48813911334
3,7,8.71301154544
4,19,19.2091137037
5,17,9.04719556831
7,2,6.90963943666
7,3,23.3120543048
7,4,23.8980274416
7,14,12.0907800474
7,19,6.50032765167
8,3,16.5102484019
8,10,25.5809285541
8,18,21.7407478088
10,7,19.6430047505
10,15,0.646474841119
11,6,18.7313558005
11,15,1.51830338989
12,8,24.8527137072
12,10,15.2012241545
12,16,7.8990450675
13,6,10.8771272199
13,8,12.0645160419
13,12,28.51744128
13,14,16.5876097228
14,11,27.9818607463
14,19,6.68647610993
15,6,9.04334016655
15,11,14.5329414375
15,13,1.47430621577
16,0,16.3355681962
16,4,21.9589668551
17,4,27.5509884471
17,10,8.49580092475
17,13,25.0478483798
17,16,24.0674790517
