Done Arranging Data, Took 0.051 seconds

Done with node:1, Took 10.860 seconds
Done with node:2, Took 21.411 seconds
Done with node:3, Took 3.891 seconds
Done with node:4, Took 6.734 seconds
Done with node:5, Took 21.570 seconds
Done with node:6, Took 6.987 seconds
Done with node:7, Took 5.699 seconds
Done with node:8, Took 3.706 seconds
Done with node:9, Took 20.914 seconds
Done with node:10, Took 22.144 seconds
Done with node:11, Took 10.108 seconds
Done with node:12, Took 13.108 seconds
Done with node:13, Took 9.210 seconds
Done with node:14, Took 19.572 seconds
Done with node:15, Took 4.202 seconds
Done with node:16, Took 5.798 seconds
Done with node:17, Took 15.524 seconds
Done with node:18, Took 15.823 seconds
Done with node:19, Took 14.750 seconds
Done with node:20, Took 8.603 seconds
