EndNodes_1,EndNodes_2,Weight
1,7,0.0102902859975644
1,13,0.338327338852096
1,16,0.0319316123075054
1,18,0.08618925227144
1,19,0.705546193924277
2,9,0.0571695860274001
2,20,0.359079639170719
3,6,0.127029832280433
3,9,0.195606303959028
4,20,0.0094988960475579
7,8,0.752605222058023
7,9,0.014796296445147
7,17,0.0717864876677645
7,19,0.200312870868198
8,2,0.010162760055915
8,10,0.018246586024397
8,17,0.0136893899080973
8,19,0.0215634125313237
9,6,0.340244318462025
10,16,0.11118618552574
11,9,0.0115231501930444
11,14,0.389689124440942
11,17,0.144721523836085
12,5,0.709474626835276
12,20,0.561446500283861
14,13,0.0369717271246404
15,6,0.0152417868197987
15,16,0.0125751658466317
15,18,0.220057389368999
16,15,0.0205861079757563
17,2,0.768597347020465
17,9,0.0162951927724855
17,16,0.0392311866668527
17,20,0.0199358963014159
18,7,0.252110724114139
18,9,0.00938426369693191
18,16,0.0260809560376844
19,2,0.009840579461508
20,15,0.044524555862559
20,16,0.206874945466304
