Done Arranging Data, Took 0.056 seconds

Done with node:1, Took 12.694 seconds
Done with node:2, Took 6.104 seconds
Done with node:3, Took 27.136 seconds
Done with node:4, Took 11.812 seconds
Done with node:5, Took 19.542 seconds
Done with node:6, Took 9.178 seconds
Done with node:7, Took 10.120 seconds
Done with node:8, Took 9.321 seconds
Done with node:9, Took 21.546 seconds
Done with node:10, Took 10.172 seconds
Done with node:11, Took 5.135 seconds
Done with node:12, Took 26.100 seconds
Done with node:13, Took 5.174 seconds
Done with node:14, Took 7.313 seconds
Done with node:15, Took 6.429 seconds
Done with node:16, Took 21.141 seconds
Done with node:17, Took 12.085 seconds
Done with node:18, Took 20.525 seconds
Done with node:19, Took 6.227 seconds
Done with node:20, Took 8.748 seconds
