Done Arranging Data, Took 0.031 seconds

Done with node:1, Took 27.071 seconds
Done with node:2, Took 15.568 seconds
Done with node:3, Took 5.388 seconds
Done with node:4, Took 12.585 seconds
Done with node:5, Took 25.511 seconds
Done with node:6, Took 17.012 seconds
Done with node:7, Took 15.665 seconds
Done with node:8, Took 21.038 seconds
Done with node:9, Took 20.127 seconds
Done with node:10, Took 23.016 seconds
Done with node:11, Took 4.828 seconds
Done with node:12, Took 18.948 seconds
Done with node:13, Took 11.894 seconds
Done with node:14, Took 6.762 seconds
Done with node:15, Took 17.170 seconds
Done with node:16, Took 11.982 seconds
Done with node:17, Took 5.401 seconds
Done with node:18, Took 4.915 seconds
Done with node:19, Took 16.146 seconds
Done with node:20, Took 6.830 seconds
