Done Arranging Data, Took 0.068 seconds

Done with node:1, Took 10.880 seconds
Done with node:2, Took 24.296 seconds
Done with node:3, Took 9.884 seconds
Done with node:4, Took 4.179 seconds
Done with node:5, Took 10.075 seconds
Done with node:6, Took 30.811 seconds
Done with node:7, Took 19.843 seconds
Done with node:8, Took 25.533 seconds
Done with node:9, Took 22.661 seconds
Done with node:10, Took 8.117 seconds
Done with node:11, Took 3.082 seconds
Done with node:12, Took 3.120 seconds
Done with node:13, Took 5.191 seconds
Done with node:14, Took 9.732 seconds
Done with node:15, Took 21.892 seconds
Done with node:16, Took 36.819 seconds
Done with node:17, Took 22.614 seconds
Done with node:18, Took 20.789 seconds
Done with node:19, Took 23.782 seconds
Done with node:20, Took 23.383 seconds
