Done Arranging Data, Took 0.228 seconds

Done with node:1, Took 216.951 seconds
Done with node:2, Took 208.903 seconds
Done with node:3, Took 194.428 seconds
Done with node:4, Took 185.041 seconds
Done with node:5, Took 204.188 seconds
Done with node:6, Took 189.622 seconds
Done with node:7, Took 200.998 seconds
Done with node:8, Took 186.792 seconds
Done with node:9, Took 195.096 seconds
Done with node:10, Took 191.388 seconds
Done with node:11, Took 189.186 seconds
Done with node:12, Took 193.140 seconds
Done with node:13, Took 212.049 seconds
Done with node:14, Took 195.219 seconds
Done with node:15, Took 187.405 seconds
Done with node:16, Took 196.878 seconds
Done with node:17, Took 199.280 seconds
Done with node:18, Took 188.765 seconds
Done with node:19, Took 196.081 seconds
Done with node:20, Took 207.814 seconds
Done with node:21, Took 206.504 seconds
Done with node:22, Took 188.961 seconds
Done with node:23, Took 189.385 seconds
Done with node:24, Took 200.206 seconds
Done with node:25, Took 194.136 seconds
Done with node:26, Took 199.311 seconds
Done with node:27, Took 205.046 seconds
Done with node:28, Took 188.797 seconds
Done with node:29, Took 199.966 seconds
Done with node:30, Took 207.131 seconds
Done with node:31, Took 205.227 seconds
Done with node:32, Took 194.006 seconds
Done with node:33, Took 207.977 seconds
Done with node:34, Took 197.005 seconds
Done with node:35, Took 199.894 seconds
Done with node:36, Took 209.587 seconds
Done with node:37, Took 209.656 seconds
Done with node:38, Took 56.642 seconds
Done with node:39, Took 196.464 seconds
Done with node:40, Took 206.474 seconds
Done with node:41, Took 193.377 seconds
Done with node:42, Took 199.823 seconds
Done with node:43, Took 201.031 seconds
Done with node:44, Took 186.397 seconds
Done with node:45, Took 199.554 seconds
Done with node:46, Took 175.180 seconds
Done with node:47, Took 205.520 seconds
Done with node:48, Took 194.718 seconds
Done with node:49, Took 183.600 seconds
Done with node:50, Took 205.215 seconds
